t,T
2023-05-10T12:00:00.0,15.5
2023-05-09T12:00:00.0,12.7
2023-05-08T12:00:00.0,9.7
2023-05-07T12:00:00.0,6.7
2023-05-06T12:00:00.0,4.3
2023-05-05T12:00:00.0,5.6
2023-05-04T12:00:00.0,12.2
2023-05-03T12:00:00.0,12.8
2023-05-02T12:00:00.0,12.3
2023-05-01T12:00:00.0,9.8
2023-04-30T12:00:00.0,11.0
2023-04-29T12:00:00.0,8.7
2023-04-28T12:00:00.0,13.6
2023-04-27T12:00:00.0,19.6
2023-04-26T12:00:00.0,11.8
2023-04-25T12:00:00.0,18.7
2023-04-24T12:00:00.0,19.9
2023-04-23T12:00:00.0,17.4
2023-04-22T12:00:00.0,13.1
2023-04-21T12:00:00.0,14.3
2023-04-20T12:00:00.0,16.2
2023-04-19T12:00:00.0,14.8
2023-04-18T12:00:00.0,13.1
2023-04-17T12:00:00.0,13.9
2023-04-16T12:00:00.0,10.9
2023-04-15T12:00:00.0,6.3
2023-04-14T12:00:00.0,6.5
2023-04-13T12:00:00.0,16.6
2023-04-12T12:00:00.0,16.6
2023-04-11T12:00:00.0,13.3
2023-04-10T12:00:00.0,13.0
2023-04-09T12:00:00.0,13.5
2023-04-08T12:00:00.0,10.8
2023-04-07T12:00:00.0,10.3
2023-04-06T12:00:00.0,12.5
2023-04-05T12:00:00.0,8.3
2023-04-04T12:00:00.0,12.2
2023-04-03T12:00:00.0,12.6
2023-04-02T12:00:00.0,7.9
2023-04-01T12:00:00.0,5.6
2023-03-31T12:00:00.0,1.3
2023-03-30T12:00:00.0,5.5
2023-03-29T12:00:00.0,8.3
2023-03-28T12:00:00.0,8.1
2023-03-27T12:00:00.0,6.2
2023-03-26T12:00:00.0,6.4
2023-03-25T12:00:00.0,7.7
2023-03-24T12:00:00.0,6.9
2023-03-23T12:00:00.0,10.2
2023-03-22T12:00:00.0,4.7
2023-03-21T12:00:00.0,4.8
2023-03-20T12:00:00.0,5.7
2023-03-19T12:00:00.0,2.1
2023-03-18T12:00:00.0,3.5
2023-03-17T12:00:00.0,2.7
2023-03-16T12:00:00.0,2.7
2023-03-15T12:00:00.0,6.6
2023-03-14T12:00:00.0,3.2
2023-03-13T12:00:00.0,-1.3
2023-03-12T12:00:00.0,5.5
2023-03-11T12:00:00.0,-4.9
2023-03-10T12:00:00.0,-5.0
2023-03-09T12:00:00.0,-0.1
2023-03-08T12:00:00.0,-3.5
2023-03-07T12:00:00.0,-0.7
2023-03-06T12:00:00.0,-1.2
2023-03-05T12:00:00.0,-0.4
2023-03-04T12:00:00.0,0.2
2023-03-03T12:00:00.0,0.5
2023-03-02T12:00:00.0,-2.9
2023-03-01T12:00:00.0,-3.2
2023-02-28T12:00:00.0,-3.9
2023-02-27T12:00:00.0,-3.1
2023-02-26T12:00:00.0,2.3
2023-02-25T12:00:00.0,1.5
2023-02-24T12:00:00.0,-6.0
2023-02-23T12:00:00.0,-9.7
2023-02-22T12:00:00.0,-14.0
2023-02-21T12:00:00.0,-12.0
2023-02-20T12:00:00.0,-6.2
2023-02-19T12:00:00.0,-6.8
2023-02-18T12:00:00.0,-6.7
2023-02-17T12:00:00.0,-4.9
2023-02-16T12:00:00.0,-4.2
2023-02-15T12:00:00.0,-2.9
2023-02-14T12:00:00.0,0.2
2023-02-13T12:00:00.0,-2.5
2023-02-12T12:00:00.0,-4.3
2023-02-11T12:00:00.0,-2.1
